Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
khung,0.0563929386010087,1.31019476305321E-05,-0.041762838953123,0,0,0,4.63698631254725,0.00845788314060549,-4.14679616592237E-10,0.00097950998612986,0.0175516900060017,1.90560315093228E-10,0.0230333628752782,0,0,0,0,0,0,package://tank_rocket/meshes/khung.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://tank_rocket/meshes/khung.STL,,khung-1;Motor_25GA370-15.4x.STEP-1;Motor_25GA370-15.4x.STEP-2;spoket-34;spoket-39;spoket-42;spoket-48;spoket_1.5-1;spoket_1.5-2;spoket_1.5-4;spoket_1.5-6;track2-281;track1-353;track2-353;track1-281;track1-282;track1-283;track1-284;track1-285;track1-286;track1-287;track1-288;track1-289;track1-290;track1-291;track1-292;track1-293;track1-294;track1-295;track1-296;track1-297;track1-298;track1-299;track1-300;track1-303;track1-304;track1-305;track1-306;track1-308;track1-310;track1-313;track1-312;track1-311;track1-309;track1-301;track1-302;track1-307;track1-314;track1-315;track1-316;track1-317;track1-318;track1-319;track1-320;track1-321;track1-322;track1-323;track1-324;track1-325;track1-326;track1-327;track1-328;track1-329;track1-330;track1-331;track1-332;track1-333;track1-334;track1-335;track1-336;track1-338;track1-339;track1-340;track1-341;track1-342;track1-343;track1-344;track1-345;track1-346;track1-337;track1-347;track1-348;track1-349;track1-350;track2-282;track2-283;track2-284;track2-285;track2-286;track2-287;track2-289;track2-290;track2-291;track2-293;track2-294;track2-292;track2-288;track1-352;track1-351;track2-295;track2-296;track2-297;track2-298;track2-299;track2-300;track2-301;track2-302;track2-303;track2-305;track2-306;track2-307;track2-308;track2-309;track2-310;track2-311;track2-312;track2-304;track2-313;track2-314;track2-315;track2-316;track2-317;track2-318;track2-322;track2-323;track2-326;track2-327;track2-328;track2-329;track2-330;track2-331;track2-332;track2-319;track2-320;track2-321;track2-324;track2-325;track2-333;track2-334;track2-335;track2-336;track2-337;track2-338;track2-339;track2-340;track2-342;track2-343;track2-344;track2-345;track2-346;track2-349;track2-350;track2-351;track2-352;track2-347;track2-348;track2-341;track1-354;track1-355;track1-356;track1-357;track1-358;track1-359;track1-360;track1-361;track1-363;track1-364;track1-365;track1-367;track1-368;track1-370;track1-373;track1-374;track1-375;track1-377;track1-378;track1-379;track1-380;track1-381;track1-382;track1-383;track1-384;track1-362;track1-366;track1-369;track1-371;track1-372;track1-376;track1-385;track1-386;track1-387;track1-388;track1-389;track1-390;track1-391;track1-392;track1-393;track1-394;track1-395;track1-396;track1-397;track1-398;track1-400;track1-401;track1-403;track1-404;track1-405;track1-406;track1-407;track1-408;track1-409;track1-410;track1-413;track1-414;track1-415;track1-416;track1-399;track1-402;track1-411;track1-412;track1-417;track1-418;track1-419;track1-420;track1-421;track1-422;track1-423;track1-424;track2-354;track2-355;track2-356;track2-357;track2-358;track2-359;track2-361;track2-362;track2-363;track2-364;track2-365;track2-366;track2-367;track2-368;track2-369;track2-370;track2-371;track2-372;track2-373;track2-374;track2-375;track2-376;track2-360;track2-377;track2-378;track2-379;track2-380;track2-381;track2-382;track2-383;track2-384;track2-385;track2-387;track2-388;track2-389;track2-390;track2-391;track2-392;track2-393;track2-394;track2-395;track2-396;track2-397;track2-399;track2-400;track2-401;track2-402;track2-403;track2-404;track2-405;track2-406;track2-407;track2-386;track2-398;track2-408;track2-409;track2-410;track2-411;track2-412;track2-413;track2-414;track2-415;track2-416;track2-417;track2-418;track2-419;track2-420;track2-421;track2-422;track2-423;track2-424,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front,2.45775622076394E-14,-2.56877852322646E-14,0.0150066275369927,0,0,0,0.16560407234294,2.27667842545529E-05,-1.13844085310617E-20,-2.09528282705332E-21,2.27667842545529E-05,7.62220485665021E-21,2.44403723155893E-05,0,0,0,0,0,0,package://tank_rocket/meshes/right_front.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tank_rocket/meshes/right_front.STL,,spoket-44,Origin_joint_right_fron,Axis_joint_right_fron,joint_right_front,continuous,0.127499999999975,-0.095,-0.0875000000000256,-1.5707963267949,0,0,khung,0,0,1,,,,,,,0.1,0.1,,,,
right_back,5.77315972805081E-15,6.09928774153445E-15,0.0150066275369927,0,0,0,0.165604072342939,2.27667842545528E-05,-8.72298939981801E-22,2.94735102771319E-21,2.27667842545528E-05,-8.60682594730567E-21,2.44403723155892E-05,0,0,0,0,0,0,package://tank_rocket/meshes/right_back.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tank_rocket/meshes/right_back.STL,,spoket-46,Origin_joint_right_back,Axis_joint_right_back,joint_right_back,continuous,0.00249999999999424,-0.095,-0.087499999999994,-1.5707963267949,0,0,khung,0,0,1,,,,,,,0.1,0.1,,,,
left_front,-3.06976666308856E-14,3.2009117578724E-14,-0.0150066275369927,0,0,0,0.165604072342939,2.27667842545528E-05,3.7787980095971E-21,9.74684171212316E-22,2.27667842545528E-05,-8.87836025018574E-21,2.44403723155892E-05,0,0,0,0,0,0,package://tank_rocket/meshes/left_front.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tank_rocket/meshes/left_front.STL,,spoket-35,Origin_joint_left_front,Axis_joint_left_front,joint_left_front,continuous,0.127499999999969,0.095,-0.087500000000032,1.5707963267949,0,3.14159265358979,khung,0,0,1,0,0,0,0,,,0.1,0.1,,,,
left_back,-4.20913304211012E-14,-4.39370761995406E-14,-0.0150066275369927,0,0,0,0.16560407234294,2.27667842545529E-05,3.95310284523938E-21,8.76303048343584E-21,2.27667842545529E-05,-6.35784847258839E-21,2.44403723155893E-05,0,0,0,0,0,0,package://tank_rocket/meshes/left_back.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tank_rocket/meshes/left_back.STL,,spoket-37,Origin_joint_left_back,Axis_joint_left_back,joint_left_back,continuous,0.0025,0.095,-0.0875,1.5708,0,3.1416,khung,0,0,1,0,0,0,0,,,0.1,0.1,,,,
link_1,1.38777878078145E-17,1.21430643318376E-17,0.00644835915793762,0,0,0,0.0346715546726792,7.54524817502026E-06,1.5425914273849E-06,5.95382956038774E-22,4.20922960466919E-06,-1.73405803358085E-21,9.78608502282708E-06,0,0,0,0,0,0,package://tank_rocket/meshes/link_1.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://tank_rocket/meshes/link_1.STL,,link1-1,Origin_joint_link_1,Axis_joint_link_1,joint_link_1,revolute,0,0,0,0,0,0.0667722831295613,khung,0,0,1,0,0,0,0,,,0.1,0.1,,,,
link_2,-0.0127749750502287,0.0648357593087863,0.0060136139065154,0,0,0,0.703700638958416,0.000439347414549989,-0.000148738322351986,6.1377914180307E-05,0.00042013773576176,7.00140276744204E-05,0.000540847242016088,0,0,0,0,0,0,package://tank_rocket/meshes/link_2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tank_rocket/meshes/link_2.STL,,link2-1,Origin_joint_link_2,Axis_joint_link_2,joint_link_2,revolute,0,0,0.01,1.5707963267949,0,-0.0667722831295613,link_1,-0.0667226763982024,0,-0.997771559253049,0,0,0,0,,,0.1,0.1,,,,
lidar,-0.0117920609089138,0.000367882733003611,-0.0355014080779145,0,0,0,0.0941040902130198,2.79091491936744E-05,-5.25179299565225E-08,3.35339141518402E-07,4.43526924858989E-05,-2.48697913621617E-08,6.9475343834523E-05,0,0,0,0,0,0,package://tank_rocket/meshes/lidar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tank_rocket/meshes/lidar.STL,,12.STEP-1,Origin_joint_lidar,,joint_lidar,fixed,0.13485,-0.0025353,0.037632,0,0,0,khung,0,0,0,,,,,,,0.1,0.1,,,,
camera,-2.53358309080798E-05,-0.00506843406603578,3.54461215884784E-11,0,0,0,0.000771122618586836,1.1165460947251E-08,5.62819447235883E-11,-1.05364985326774E-16,9.6034226519931E-09,-7.04412393831707E-17,1.11009840028505E-08,0,0,0,0,0,0,package://tank_rocket/meshes/camera.STL,1,1,1,1,0,0,0,0,0,0,package://tank_rocket/meshes/camera.STL,,camera-1,Origin_joint_camera,,joint_camera,fixed,0.16324,0,0.047632,1.5708,0,0,khung,0,0,0,,,,,,,0.1,0.1,,,,
gps,1.38777878078145E-17,1.04709948019378E-19,-0.00503945929130452,0,0,0,0.000778957433419712,1.12317823812769E-08,1.14794486789053E-41,-2.85942737532526E-41,1.12317823812769E-08,1.15470852006784E-25,9.66985366827311E-09,0,0,0,0,0,0,package://tank_rocket/meshes/gps.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://tank_rocket/meshes/gps.STL,,gps-1,Origin_joint_gps,Axis_joint_gps,joint_gps,fixed,0.18126,0,-0.015,0,0,0,khung,0,0,0,,,,,,,0.1,0.1,,,,
